Lat,Lon,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Bus10,Bus11,Bus12,Bus13,Bus14
-87.877931,41.856153,17,,,,,,,,,,,,,
-87.87906,41.863194,17,,,,,,,,,,,,,
-87.877616,41.862486,17,,,,,,,,,,,,,
-87.878139,41.874389,17,,,,,,,,,,,,,
-87.846317,41.966608,69,,,,,,,,,,,,,
-87.844002,41.966354,69,,,,,,,,,,,,,
-87.846334,41.971271,69,,,,,,,,,,,,,
-87.842491,41.878775,17,,,,,,,,,,,,,
-87.841807,41.966382,69,,,,,,,,,,,,,
-87.83647,41.878895,17,,,,,,,,,,,,,
-87.83671,41.970324,69,81W,,,,,,,,,,,,
-87.83369,41.879098,17,,,,,,,,,,,,,
-87.834121,41.95218,80,,,,,,,,,,,,,
-87.83115,42.011121,68,,,,,,,,,,,,,
-87.828707,41.937767,77,,,,,,,,,,,,,
-87.830403,41.944873,152,,,,,,,,,,,,,
-87.827643,41.94507,152,,,,,,,,,,,,,
-87.827051,41.952224,80,,,,,,,,,,,,,
-87.82924,42.010908,68,,,,,,,,,,,,,
-87.823662,41.981277,64,,,,,,,,,,,,,
-87.825932,42.008489,68,,,,,,,,,,,,,
-87.822202,42.006694,68,,,,,,,,,,,,,
-87.820925,41.879368,17,,,,,,,,,,,,,
-87.819202,41.937999,77,,,,,,,,,,,,,
-87.8194,41.966898,81W,,,,,,,,,,,,,
-87.814441,41.945061,152,,,,,,,,,,,,,
-87.814502,41.966997,81W,,,,,,,,,,,,,
-87.816862,41.974359,64,,,,,,,,,,,,,
-87.816012,42.002732,68,,,,,,,,,,,,,
-87.811738,41.945266,152,,,,,,,,,,,,,
-87.812205,41.967082,81W,,,,,,,,,,,,,
-87.8116,41.999929,68,,,,,,,,,,,,,
-87.806387,41.921789,90,307,,,,,,,,,,,,
-87.806066,41.921007,90,307,,,,,,,,,,,,
-87.80668,41.934571,90,,,,,,,,,,,,,
-87.806649,41.937803,90,,,,,,,,,,,,,
-87.809286,41.93794,77,,,,,,,,,,,,,
-87.806793,41.941503,90,,,,,,,,,,,,,
-87.80741,41.954052,90,,,,,,,,,,,,,
-87.807352,41.954917,90,,,,,,,,,,,,,
-87.807091,41.965399,90,,,,,,,,,,,,,
-87.806954,41.976225,90,,,,,,,,,,,,,
-87.806793,41.988617,90N,,,,,,,,,,,,,
-87.80667,42.000776,90N,,,,,,,,,,,,,
-87.806567,42.010737,90N,,,,,,,,,,,,,
-87.805836,41.777062,62H,63W,,,,,,,,,,,,
-87.805414,41.894302,90,305,307,318,,,,,,,,,,
-87.804994,41.892879,90,305,307,318,,,,,,,,,,
-87.805268,41.899586,90,305,307,318,,,,,,,,,,
-87.805193,41.897798,90,305,307,318,,,,,,,,,,
-87.80401,41.909026,72,,,,,,,,,,,,,
-87.802419,41.994299,68,,,,,,,,,,,,,
-87.801224,41.777132,63W,,,,,,,,,,,,,
-87.799105,41.791903,62,62H,,,,,,,,,,,,
-87.798889,41.792093,62,62H,,,,,,,,,,,,
-87.799252,41.930779,76,,,,,,,,,,,,,
-87.800662,41.94545,152,,,,,,,,,,,,,
-87.797747,41.957806,78,,,,,,,,,,,,,
-87.797601,41.968377,81W,,,,,,,,,,,,,
-87.797585,41.979012,88,,,,,,,,,,,,,
-87.800946,41.997063,56A,,,,,,,,,,,,,
-87.796129,41.77735,63W,,,,,,,,,,,,,
-87.796566,41.791993,62,62H,,,,,,,,,,,,
-87.795414,41.923518,65,74,,,,,,,,,,,,
-87.793202,41.9891,68,,,,,,,,,,,,,
-87.795704,41.997228,56A,,,,,,,,,,,,,
-87.790987,41.773755,165,,,,,,,,,,,,,
-87.79116,41.77746,63W,,,,,,,,,,,,,
-87.790857,41.777602,63W,,,,,,,,,,,,,
-87.793761,41.792025,62,62H,,,,,,,,,,,,
-87.793552,41.850606,21,322,,,,,,,,,,,,
-87.792188,41.923548,65,74,,,,,,,,,,,,
-87.79009,41.945535,152,,,,,,,,,,,,,
-87.7855,41.922486,86,,,,,,,,,,,,,
-87.785285,41.923789,74,,,,,,,,,,,,,
-87.785489,41.9273,86,,,,,,,,,,,,,
-87.785599,41.93116,86,,,,,,,,,,,,,
-87.788387,41.938308,77,,,,,,,,,,,,,
-87.786129,41.941908,86,,,,,,,,,,,,,
-87.785951,41.945603,152,,,,,,,,,,,,,
-87.788806,41.952966,80,,,,,,,,,,,,,
-87.786582,41.956456,86,,,,,,,,,,,,,
-87.787712,41.96835,81W,,,,,,,,,,,,,
-87.78545,41.968493,81W,,,,,,,,,,,,,
-87.787706,41.976301,88,,,,,,,,,,,,,
-87.787869,41.979349,86,,,,,,,,,,,,,
-87.78773,41.979185,86,91,,,,,,,,,,,,
-87.787692,41.981004,86,91,,,,,,,,,,,,
-87.787821,41.98594,68,,,,,,,,,,,,,
-87.787606,41.986203,86,91,,,,,,,,,,,,
-87.785397,41.984564,68,,,,,,,,,,,,,
-87.78742,41.996501,86,,,,,,,,,,,,,
-87.786015,42.008994,85A,,,,,,,,,,,,,
-87.786051,41.777665,63W,,,,,,,,,,,,,
-87.783602,41.777701,63W,,,,,,,,,,,,,
-87.784499,41.888107,86,,,,,,,,,,,,,
-87.784806,41.890477,86,,,,,,,,,,,,,
-87.784667,41.901763,86,,,,,,,,,,,,,
-87.7844,41.909272,72,86,,,,,,,,,,,,
-87.785039,41.912685,86,,,,,,,,,,,,,
-87.783727,41.945753,152,,,,,,,,,,,,,
-87.781482,41.94566,152,,,,,,,,,,,,,
-87.784223,41.952892,80,,,,,,,,,,,,,
-87.783276,41.974866,88,,,,,,,,,,,,,
-87.781325,41.990294,56A,,,,,,,,,,,,,
-87.783097,41.992127,56A,,,,,,,,,,,,,
-87.78305,42.005562,85A,,,,,,,,,,,,,
-87.781225,42.004145,85A,,,,,,,,,,,,,
-87.778628,41.773987,165,,,,,,,,,,,,,
-87.781402,41.779577,55N,,,,,,,,,,,,,
-87.781659,41.790425,55N,,,,,,,,,,,,,
-87.780516,41.792598,62,62H,,,,,,,,,,,,
-87.780725,41.921562,65,,,,,,,,,,,,,
-87.777972,41.921057,65,,,,,,,,,,,,,
-87.77883,41.945853,152,,,,,,,,,,,,,
-87.776883,41.95843,91,,,,,,,,,,,,,
-87.778633,41.973383,88,,,,,,,,,,,,,
-87.780534,41.981877,68,,,,,,,,,,,,,
-87.776891,41.9855,56A,,,,,,,,,,,,,
-87.779729,42.003493,85A,,,,,,,,,,,,,
-87.776518,41.777707,63W,,,,,,,,,,,,,
-87.778041,41.793396,62,62H,,,,,,,,,,,,
-87.774366,41.871102,91,,,,,,,,,,,,,
-87.774269,41.872684,91,,,,,,,,,,,,,
-87.774613,41.877671,91,,,,,,,,,,,,,
-87.774465,41.87778,91,,,,,,,,,,,,,
-87.774043,41.880313,20,,,,,,,,,,,,,
-87.77483,41.883842,N20,91,,,,,,,,,,,,
-87.774568,41.882197,N20,91,,,,,,,,,,,,
-87.775005,41.887906,N20,,,,,,,,,,,,,
-87.774903,41.88537,N20,91,,,,,,,,,,,,
-87.774995,41.892894,91,,,,,,,,,,,,,
-87.77527,41.901899,91,,,,,,,,,,,,,
-87.773042,41.901972,70,,,,,,,,,,,,,
-87.775474,41.920612,65,,,,,,,,,,,,,
-87.773256,41.920064,65,,,,,,,,,,,,,
-87.775842,41.923717,74,,,,,,,,,,,,,
-87.775808,41.92396,91,,,,,,,,,,,,,
-87.773161,41.923899,74,,,,,,,,,,,,,
-87.776073,41.936519,91,,,,,,,,,,,,,
-87.776348,41.943845,91,,,,,,,,,,,,,
-87.776277,41.942012,91,,,,,,,,,,,,,
-87.776419,41.945684,91,,,,,,,,,,,,,
-87.774721,41.967745,81W,91,,,,,,,,,,,,
-87.773323,41.971928,88,,,,,,,,,,,,,
-87.773448,42.011846,85A,,,,,,,,,,,,,
-87.773931,41.776074,55A,,,,,,,,,,,,,
-87.771346,41.775956,55A,,,,,,,,,,,,,
-87.771489,41.779601,55A,,,,,,,,,,,,,
-87.771418,41.777769,55A,,,,,,,,,,,,,
-87.771702,41.78511,55A,,,,,,,,,,,,,
-87.771989,41.788945,55A,,,,,,,,,,,,,
-87.771914,41.790613,55A,,,,,,,,,,,,,
-87.771925,41.792598,55N,,,,,,,,,,,,,
-87.772963,41.865551,91,,,,,,,,,,,,,
-87.771303,41.877238,126,,,,,,,,,,,,,
-87.769922,41.880088,20,,,,,,,,,,,,,
-87.772404,41.894698,66,,,,,,,,,,,,,
-87.772037,41.894833,66,,,,,,,,,,,,,
-87.770104,41.909426,72,,,,,,,,,,,,,
-87.770913,41.919757,65,,,,,,,,,,,,,
-87.771123,41.923984,74,,,,,,,,,,,,,
-87.769354,41.953253,80,,,,,,,,,,,,,
-87.770488,41.978843,56A,,,,,,,,,,,,,
-87.768472,41.978388,85,85A,,,,,,,,,,,,
-87.768361,41.977963,85,85A,,,,,,,,,,,,
-87.768338,41.97923,85,85A,,,,,,,,,,,,
-87.768184,41.987121,85A,,,,,,,,,,,,,
-87.769939,42.005275,85A,,,,,,,,,,,,,
-87.767502,42.063293,54A,205,,,,,,,,,,,,
-87.766328,41.774388,165,,,,,,,,,,,,,
-87.768899,41.777972,63W,,,,,,,,,,,,,
-87.767134,41.79271,55A,55N,,,,,,,,,,,,
-87.768655,41.851025,21,322,,,,,,,,,,,,
-87.766617,41.880147,20,,,,,,,,,,,,,
-87.764956,41.885582,85,,,,,,,,,,,,,
-87.765389,41.893003,85,,,,,,,,,,,,,
-87.765244,41.892838,85,,,,,,,,,,,,,
-87.765482,41.900253,85,,,,,,,,,,,,,
-87.768186,41.902045,70,,,,,,,,,,,,,
-87.765525,41.902214,70,,,,,,,,,,,,,
-87.765862,41.905894,85,,,,,,,,,,,,,
-87.765784,41.904025,85,,,,,,,,,,,,,
-87.765932,41.907697,85,,,,,,,,,,,,,
-87.76571,41.912365,85,,,,,,,,,,,,,
-87.768162,41.919251,65,,,,,,,,,,,,,
-87.766343,41.931366,85,,,,,,,,,,,,,
-87.766777,41.93864,77,,,,,,,,,,,,,
-87.76663,41.945945,152,,,,,,,,,,,,,
-87.766681,41.953094,80,,,,,,,,,,,,,
-87.764582,41.953256,80,,,,,,,,,,,,,
-87.767189,41.956907,85,,,,,,,,,,,,,
-87.767006,41.95695,85,,,,,,,,,,,,,
-87.766875,41.960417,78,,,,,,,,,,,,,
-87.764651,41.960635,78,,,,,,,,,,,,,
-87.767566,41.967888,85,,,,,,,,,,,,,
-87.767387,41.967686,85,,,,,,,,,,,,,
-87.767358,41.966318,85,,,,,,,,,,,,,
-87.76765,41.970152,85,,,,,,,,,,,,,
-87.768025,41.975791,56A,85,85A,,,,,,,,,,,
-87.7666,41.9887,85A,,,,,,,,,,,,,
-87.763907,41.774448,165,,,,,,,,,,,,,
-87.764802,41.872566,12,85,,,,,,,,,,,,
-87.761708,41.938573,77,,,,,,,,,,,,,
-87.762259,41.945992,152,,,,,,,,,,,,,
-87.762416,41.96048,78,,,,,,,,,,,,,
-87.76246,41.967717,81W,91,,,,,,,,,,,,
-87.760556,41.967765,56,,,,,,,,,,,,,
-87.763275,41.970521,85,88,,,,,,,,,,,,
-87.762435,41.9703,85,,,,,,,,,,,,,
-87.762284,41.995348,84,,,,,,,,,,,,,
-87.760567,41.74888,79,,,,,,,,,,,,,
-87.760007,41.754323,54B,79,,,,,,,,,,,,
-87.760844,41.757294,54B,,,,,,,,,,,,,
-87.757523,41.79275,55A,55N,,,,,,,,,,,,
-87.760364,41.796116,62,62H,,,,,,,,,,,,
-87.759261,41.865768,12,,,,,,,,,,,,,
-87.75752,41.872855,7,,,,,,,,,,,,,
-87.75779,41.880252,20,,,,,,,,,,,,,
-87.757965,41.895001,66,,,,,,,,,,,,,
-87.757966,41.909533,72,,,,,,,,,,,,,
